obs_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
"=""102.5728""","=""250000""","=""5.5751e+07""",AAA,"=""0.00000000000000""","=""12.0875052""","=""1s""","=""2S""","=""1/2""","=""3""","=""""","=""""",,
"=""102.5728""","=""""","=""1.6725e+08""",AAA,"=""0.00000000000000""","=""12.0874936591""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,
"=""121.56699""","=""""","=""6.2648e+08""",AAA,"=""0.00000000000000""","=""10.19885151459""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",,
"=""121.56699""","=""""","=""6.2649e+08""",AAA,"=""0.00000000000000""","=""10.19880615024""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",,
"=""121.56701""","=""840000""","=""4.6986e+08""",AAA,"=""0.00000000000000""","=""10.1988358""","=""1s""","=""2S""","=""1/2""","=""2""","=""""","=""""",,
"=""121.5673123130200""","=""""","=""2.495e-06""",AAA,"=""0.00000000000000""","=""10.19881052514816""","=""1s""","=""2S""","=""1/2""","=""2s""","=""2S""","=""1/2""",M1,
"=""365.769""","=""700""","=""9.9657e+01""",AAA,"=""10.1988358""","=""[13.58850159]""","=""2""","=""""","=""""","=""37""","=""""","=""""",,
"=""365.829""","=""700""","=""1.1430e+02""",AAA,"=""10.1988358""","=""[13.58794208]""","=""2""","=""""","=""""","=""36""","=""""","=""""",,
"=""365.908""","=""700bl""","=""1.3161e+02""",AAA,"=""10.1988358""","=""[13.58733395]""","=""2""","=""""","=""""","=""35""","=""""","=""""",,
"=""365.969""","=""700""","=""1.5216e+02""",AAA,"=""10.1988358""","=""[13.58667137]""","=""2""","=""""","=""""","=""34""","=""""","=""""",,
"=""366.045""","=""700""","=""1.7669e+02""",AAA,"=""10.1988358""","=""[13.58594765]""","=""2""","=""""","=""""","=""33""","=""""","=""""",,
"=""366.136""","=""700bl""","=""2.0612e+02""",AAA,"=""10.1988358""","=""[13.58515502]""","=""2""","=""""","=""""","=""32""","=""""","=""""",,
"=""366.231""","=""800""","=""2.4162e+02""",AAA,"=""10.1988358""","=""[13.58428445]""","=""2""","=""""","=""""","=""31""","=""""","=""""",,
"=""366.326""","=""1100bl""","=""2.8474e+02""",AAA,"=""10.1988358""","=""[13.58332538]""","=""2""","=""""","=""""","=""30""","=""""","=""""",,
"=""366.445""","=""900bl""","=""3.3742e+02""",AAA,"=""10.1988358""","=""[13.58226541]""","=""2""","=""""","=""""","=""29""","=""""","=""""",,
"=""366.569""","=""1000bl""","=""4.0224e+02""",AAA,"=""10.1988358""","=""[13.58108984]""","=""2""","=""""","=""""","=""28""","=""""","=""""",,
"=""366.712""","=""900""","=""4.8261e+02""",AAA,"=""10.1988358""","=""[13.57978125]""","=""2""","=""""","=""""","=""27""","=""""","=""""",,
"=""366.877""","=""1000""","=""5.8304e+02""",AAA,"=""10.1988358""","=""[13.57831878]""","=""2""","=""""","=""""","=""26""","=""""","=""""",,
"=""367.050""","=""1300""","=""7.0963e+02""",AAA,"=""10.1988358""","=""[13.57667733]""","=""2""","=""""","=""""","=""25""","=""""","=""""",,
"=""367.237""","=""1200bl""","=""8.7069e+02""",AAA,"=""10.1988358""","=""[13.57482645]""","=""2""","=""""","=""""","=""24""","=""""","=""""",,
"=""367.486""","=""1300""","=""1.0777e+03""",AAA,"=""10.1988358""","=""[13.57272894]""","=""2""","=""""","=""""","=""23""","=""""","=""""",,
"=""367.7423""","=""1400""","=""1.3467e+03""",AAA,"=""10.1988358""","=""[13.57033894]""","=""2""","=""""","=""""","=""22""","=""""","=""""",,
"=""368.0418""","=""1700""","=""1.7005e+03""",AAA,"=""10.1988358""","=""[13.56759946]""","=""2""","=""""","=""""","=""21""","=""""","=""""",,
"=""368.3871""","=""1700""","=""2.1719e+03""",AAA,"=""10.1988358""","=""[13.56443886]""","=""2""","=""""","=""""","=""20""","=""""","=""""",,
"=""368.7881""","=""2000""","=""2.8093e+03""",AAA,"=""10.1988358""","=""[13.56076619]""","=""2""","=""""","=""""","=""19""","=""""","=""""",,
"=""369.2602""","=""2300""","=""3.6851e+03""",AAA,"=""10.1988358""","=""[13.55646454]""","=""2""","=""""","=""""","=""18""","=""""","=""""",,
"=""369.8209""","=""2300""","=""4.9101e+03""",AAA,"=""10.1988358""","=""[13.55138166]""","=""2""","=""""","=""""","=""17""","=""""","=""""",,
"=""370.4913""","=""2800""","=""6.6583e+03""",AAA,"=""10.1988358""","=""[13.54531624]""","=""2""","=""""","=""""","=""16""","=""""","=""""",,
"=""371.3034""","=""3300""","=""9.2102e+03""",AAA,"=""10.1988358""","=""[13.53799772]""","=""2""","=""""","=""""","=""15""","=""""","=""""",,
"=""372.3005""","=""5000""","=""1.3032e+04""",AAA,"=""10.1988358""","=""[13.52905552]""","=""2""","=""""","=""""","=""14""","=""""","=""""",,
"=""373.5431""","=""6000""","=""1.8927e+04""",AAA,"=""10.1988358""","=""[13.51797128]""","=""2""","=""""","=""""","=""13""","=""""","=""""",,
"=""375.119571087""","=""""","=""""",,"=""10.19881052514816""","=""13.50400193582""","=""2s""","=""2S""","=""1/2""","=""12d""","=""2D""","=""5/2""",E2,
"=""375.119579034""","=""""","=""""",,"=""10.19881052514816""","=""13.50400186581""","=""2s""","=""2S""","=""1/2""","=""12d""","=""2D""","=""3/2""",E2,
"=""375.1217""","=""8000""","=""2.8337e+04""",AAA,"=""10.1988358""","=""13.50400193""","=""2""","=""""","=""""","=""12""","=""""","=""""",,
"=""377.1704""","=""9000""","=""4.3972e+04""",AAA,"=""10.1988358""","=""13.48605194""","=""2""","=""""","=""""","=""11""","=""""","=""""",,
"=""379.895331215""","=""""","=""""",,"=""10.19881052514816""","=""13.46245154007""","=""2s""","=""2S""","=""1/2""","=""10d""","=""2D""","=""5/2""",E2,
"=""379.8987""","=""17000""","=""7.1225e+04""",AAA,"=""10.1988358""","=""13.46245155""","=""2""","=""""","=""""","=""10""","=""""","=""""",,
"=""383.6485""","=""30000""","=""1.2156e+05""",AAA,"=""10.1988358""","=""13.43055424""","=""2""","=""""","=""""","=""9""","=""""","=""""",,
"=""389.012688704""","=""""","=""""",,"=""10.19881052514816""","=""13.385961022639""","=""2s""","=""2S""","=""1/2""","=""8d""","=""2D""","=""5/2""",E2,
"=""389.012717544""","=""""","=""""",,"=""10.19881052514816""","=""13.38596078636""","=""2s""","=""2S""","=""1/2""","=""8d""","=""2D""","=""3/2""",E2,
"=""389.012795502""","=""""","=""""",,"=""10.19881052514816""","=""13.38596014765""","=""2s""","=""2S""","=""1/2""","=""8s""","=""2S""","=""1/2""",M1,
"=""389.0166""","=""70000""","=""2.2148e+05""",AAA,"=""10.1988358""","=""13.38596103""","=""2""","=""""","=""""","=""8""","=""""","=""""",,
"=""397.1198""","=""30000""","=""4.3889e+05""",AAA,"=""10.1988358""","=""13.32091817""","=""2""","=""""","=""""","=""7""","=""""","=""""",,
"=""410.286503481""","=""""","=""""",,"=""10.19881052514816""","=""13.22070369934""","=""2s""","=""2S""","=""1/2""","=""6d""","=""2D""","=""5/2""",E2,
