obs_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
"=""875.286""","=""2200""","=""2.0207e+04""",AAA,"=""12.0875052""","=""13.50400193""","=""3""","=""""","=""""","=""12""","=""""","=""""",,
"=""886.532""","=""(3600)""","=""3.1558e+04""",AAA,"=""12.0875052""","=""13.48605194""","=""3""","=""""","=""""","=""11""","=""""","=""""",,
"=""901.78""","=""(4800)""","=""5.1558e+04""",AAA,"=""12.0875052""","=""13.46245155""","=""3""","=""""","=""""","=""10""","=""""","=""""",,
"=""923.22""","=""(6500)""","=""8.9050e+04""",AAA,"=""12.0875052""","=""13.43055424""","=""3""","=""""","=""""","=""9""","=""""","=""""",,
"=""954.88""","=""(9000)""","=""1.6506e+05""",AAA,"=""12.0875052""","=""13.38596103""","=""3""","=""""","=""""","=""8""","=""""","=""""",,
"=""1005.26""","=""(13000)""","=""3.3585e+05""",AAA,"=""12.0875052""","=""13.32091817""","=""3""","=""""","=""""","=""7""","=""""","=""""",,
"=""1094.117""","=""14000""","=""7.7829e+05""",AAA,"=""12.0875052""","=""13.22070389""","=""3""","=""""","=""""","=""6""","=""""","=""""",,
"=""1282.1578""","=""32000""","=""2.2008e+06""",AAA,"=""12.0875052""","=""13.0545017""","=""3""","=""""","=""""","=""5""","=""""","=""""",,
"=""1556.046""","=""800""","=""3.6714e+03""",AAA,"=""12.7485393""","=""[13.54531624]""","=""4""","=""""","=""""","=""16""","=""""","=""""",,
"=""1641.136""","=""1400""","=""1.6205e+04""",AAA,"=""12.7485393""","=""13.50400193""","=""4""","=""""","=""""","=""12""","=""""","=""""",,
"=""1681.110""","=""1600""","=""2.5565e+04""",AAA,"=""12.7485393""","=""13.48605194""","=""4""","=""""","=""""","=""11""","=""""","=""""",,
"=""1736.6885""","=""3100""","=""4.2347e+04""",AAA,"=""12.7485393""","=""13.46245155""","=""4""","=""""","=""""","=""10""","=""""","=""""",,
"=""1817.920""","=""2800""","=""7.4593e+04""",AAA,"=""12.7485393""","=""13.43055424""","=""4""","=""""","=""""","=""9""","=""""","=""""",,
"=""1875.64""","=""(51000)""","=""8.9860e+06""",AAA,"=""12.0875052""","=""12.7485393""","=""3""","=""""","=""""","=""4""","=""""","=""""",,
"=""2166.1178""","=""8000""","=""3.0415e+05""",AAA,"=""12.7485393""","=""13.32091817""","=""4""","=""""","=""""","=""7""","=""""","=""""",,
"=""2625.871""","=""(9000)""","=""7.7110e+05""",AAA,"=""12.7485393""","=""13.22070389""","=""4""","=""""","=""""","=""6""","=""""","=""""",,
"=""3296.98""","=""(1800)""","=""6.9078e+04""",AAA,"=""13.0545017""","=""13.43055424""","=""5""","=""""","=""""","=""9""","=""""","=""""",,
"=""3740.576""","=""2500""","=""1.3877e+05""",AAA,"=""13.0545017""","=""13.38596103""","=""5""","=""""","=""""","=""8""","=""""","=""""",,
"=""4052.279""","=""11000""","=""2.6993e+06""",AAA,"=""12.7485393""","=""13.0545017""","=""4""","=""""","=""""","=""5""","=""""","=""""",,
"=""4653.78""","=""4200""","=""3.2528e+05""",AAA,"=""13.0545017""","=""13.32091817""","=""5""","=""""","=""""","=""7""","=""""","=""""",,
"=""5128.65""","=""(450)""","=""3.6881e+04""",AAA,"=""13.22070389""","=""13.46245155""","=""6""","=""""","=""""","=""10""","=""""","=""""",,
"=""7459.90""","=""(3000)""","=""1.0254e+06""",AAA,"=""13.0545017""","=""13.22070389""","=""5""","=""""","=""""","=""6""","=""""","=""""",,
"=""7502.44""","=""620""","=""1.5609e+05""",AAA,"=""13.22070389""","=""13.38596103""","=""6""","=""""","=""""","=""8""","=""""","=""""",,
"=""8154.84""","=""120""","=""3.3586e+03""",AAA,"=""13.38596103""","=""[13.53799772]""","=""8""","=""""","=""""","=""15""","=""""","=""""",,
"=""8664.460""","=""180""","=""5.0098e+03""",AAA,"=""13.38596103""","=""[13.52905552]""","=""8""","=""""","=""""","=""14""","=""""","=""""",,
"=""8760.064""","=""420""","=""3.9049e+04""",AAA,"=""13.32091817""","=""13.46245155""","=""7""","=""""","=""""","=""10""","=""""","=""""",,
"=""9392.03""","=""60""","=""7.8037e+03""",AAA,"=""13.38596103""","=""[13.51797128]""","=""8""","=""""","=""""","=""13""","=""""","=""""",,
"=""10503.507""","=""190""","=""1.2870e+04""",AAA,"=""13.38596103""","=""13.50400193""","=""8""","=""""","=""""","=""12""","=""""","=""""",,
"=""10803.59""","=""80""","=""2.2679e+03""",AAA,"=""13.43055424""","=""[13.54531624]""","=""9""","=""""","=""""","=""16""","=""""","=""""",,
"=""11308.681""","=""420""","=""8.2370e+04""",AAA,"=""13.32091817""","=""13.43055424""","=""7""","=""""","=""""","=""9""","=""""","=""""",,
"=""11539.54""","=""110""","=""3.3253e+03""",AAA,"=""13.43055424""","=""[13.53799772]""","=""9""","=""""","=""""","=""15""","=""""","=""""",,
"=""12371.912""","=""410""","=""4.5608e+05""",AAA,"=""13.22070389""","=""13.32091817""","=""6""","=""""","=""""","=""7""","=""""","=""""",,
"=""12387.153""","=""340""","=""2.3007e+04""",AAA,"=""13.38596103""","=""13.48605194""","=""8""","=""""","=""""","=""11""","=""""","=""""",,
"=""12587.05""","=""210""","=""5.0797e+03""",AAA,"=""13.43055424""","=""[13.52905552]""","=""9""","=""""","=""""","=""14""","=""""","=""""",,
"=""19061.96""","=""540""","=""2.2720e+05""",AAA,"=""13.32091817""","=""13.38596103""","=""7""","=""""","=""""","=""8""","=""""","=""""",,
"=""27803.50""","=""(220)""","=""1.2328e+05""",AAA,"=""13.38596103""","=""13.43055424""","=""8""","=""""","=""""","=""9""","=""""","=""""",,
"=""69071.7""","=""14bl""","=""2.7989e+04""",AAA,"=""13.48605194""","=""13.50400193""","=""11""","=""""","=""""","=""12""","=""""","=""""",,
"=""88761""","=""9bl""","=""1.8569e+04""",AAA,"=""13.50400193""","=""[13.51797128]""","=""12""","=""""","=""""","=""13""","=""""","=""""",,
"=""111863""","=""14bl""","=""1.2709e+04""",AAA,"=""[13.51797128]""","=""[13.52905552]""","=""13""","=""""","=""""","=""14""","=""""","=""""",,
"=""138750""","=""19""","=""8.9344e+03""",AAA,"=""[13.52905552]""","=""[13.53799772]""","=""14""","=""""","=""""","=""15""","=""""","=""""",,
"=""169423""","=""16""","=""6.4283e+03""",AAA,"=""[13.53799772]""","=""[13.54531624]""","=""15""","=""""","=""""","=""16""","=""""","=""""",,
"=""337600""","=""(4)""","=""2.0659e+03""",AAA,"=""[13.56076619]""","=""[13.56443886]""","=""19""","=""""","=""""","=""20""","=""""","=""""",,
"=""452570""","=""(2)""","=""""",,"=""[13.56759946]""","=""[13.57033894]""","=""21""","=""""","=""""","=""22""","=""""","=""""",,
"=""27330560""","=""""","=""""",,"=""10.19880615024""","=""10.19885151459""","=""2p""","=""2P*""","=""1/2""","=""2p""","=""2P*""","=""3/2""",UT,
"=""30247840""","=""""","=""""",,"=""10.19881052514816""","=""10.19885151459""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",,
"=""74702300""","=""""","=""""",,"=""12.0874949611""","=""12.0875115582""","=""3s""","=""2S""","=""1/2""","=""3d""","=""2D""","=""5/2""",E2,
"=""92235000""","=""""","=""""",,"=""12.0874936591""","=""12.0875071004""","=""3p""","=""2P*""","=""1/2""","=""3p""","=""2P*""","=""3/2""",UT,
"=""92390000""","=""""","=""""",,"=""12.0874936591""","=""12.0875070783""","=""3p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",,
"=""102200000""","=""""","=""""",,"=""12.0874949611""","=""12.0875071004""","=""3s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,
